product,unit,Doller,Derham,Euro,code
"current transformer 600 A / 5 A, 1.25 VA / class 1",,69.89737742,256.847,61.3,35
"current transformer 600 A / 5 A, 2.5 VA / class 1",,122.0068415,448.33,107,35
"current transformer 600 A / 5 A, 5 VA / class 0.5",,52.45153934,192.74,46,35
"current transformer 600 A / 5 A, 5 VA / class 1",,37.51425314,137.851,32.9,35
"current transformer 600 A / 5 A, 5 VA / class 0.5",,109.4640821,402.24,96,35
"current transformer 630 A / 5 A, 5 VA / class 1",,79.58950969,292.462,69.8,35
"current transformer 750 A / 5 A, 5 VA / class 0.5",,52.45153934,192.74,46,35
"current transformer 750 A / 5 A, 5 VA / class 1",,37.51425314,137.851,32.9,35
"current transformer 750 A / 5 A, 5 VA / class 0.5",,109.4640821,402.24,96,35
"current transformer 80 A / 5 A, 2,5 VA / class 1",,55.75826682,204.891,48.9,35
"current transformer 800 A / 5 A, 5 VA / class 1",,79.58950969,292.462,69.8,35
"cylindr fuse link 10 A, 690 V",ROLL,13.59179019,49.9448,11.92,35
"cylindr fuse link 32 A, 690 V",,14.46978335,53.1711,12.69,35
"cylindr fuse link 40 A, 690 V",,18.34663626,67.4171,16.09,35
"cylindr fuse link 50 A, 690 V",,18.34663626,67.4171,16.09,35
"cylindr. fuse link 0,5 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 0,5 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 1 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 1 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 1,5 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 10 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 10 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 100 A, 690 V, gR",,35.16533637,129.2196,30.84,35
"cylindr. fuse link 12 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 12 A, time delay, 600 V AC, 300 V DC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 15 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 15 A, time delay, 600 V AC, 300 V DC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 16 A, 1100 V DC, gPV",,17.35461802,63.7718,15.22,35
"cylindr. fuse link 16 A, 690 V, gR",,14.17331813,52.0817,12.43,35
"cylindr. fuse link 2 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 2 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 2,5 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 20 A, 1100 V DC, gPV",,17.35461802,63.7718,15.22,35
"cylindr. fuse link 20 A, 690 V, gR",,14.17331813,52.0817,12.43,35
"cylindr. fuse link 20 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 20 A, time delay, 600 V AC, 300 V DC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 25 A, 1100 V DC, gPV",,17.35461802,63.7718,15.22,35
"cylindr. fuse link 25 A, 690 V, gR",PCS,11.93842645,43.8693,10.47,35
"cylindr. fuse link 25 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 25 A, time delay, 600 V AC, 300 V DC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 3 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 3 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 30 A, 690 V, gR",PCS,11.93842645,43.8693,10.47,35
"cylindr. fuse link 30 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 30 A, time delay, 600 V AC, 300 V DC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 4 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 4 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 5 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 5 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 50 A, 690 V, gR",,23.0672748,84.7637,20.23,35
"cylindr. fuse link 6 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 6 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 63 A, 690 V, gR",,28.28962372,103.9539,24.81,35
"cylindr. fuse link 8 A, fast acting, 600 V AC",,17.63968073,64.8193,15.47,35
"cylindr. fuse link 8 A, time delay, 600 V AC",,21.27708096,78.1854,18.66,35
"cylindr. fuse link 80 A, 690 V, gR",,28.28962372,103.9539,24.81,35
"D fuse base, E 27 / 25 A / 3P, for screw-in gauge rings",,25.15393387,92.4314,22.06,35
"D fuse base, E 33 / 63 A / 3P, for screw-in gauge rings",,31.51653364,115.8116,27.64,35
"D0 fuse base, busbar mounted, E 18 / 63 A",,15.16533637,55.727,13.3,35
"D0 fuse base, panel-mounting, E 14 / 16 A / 3P",,26.18015964,96.2024,22.96,35
"D0 fuse base, panel-mounting, E 18 / 63 A / 3P",,27.58266819,101.3561,24.19,35
"D0-fuse base, busbar-mounting",PCS,12.73660205,46.8023,11.17,35
"D0-fuse base, busbar-mounting- 27mm, E 18 / 63 A",,15.65564424,57.5287,13.73,35
"D0-fuse base, busbar-mounting- 36mm",KM,13.64880274,50.1543,11.97,35
"D0-fuse base, busbar-mounting, E 18 / 63 A",,16.84150513,61.8863,14.77,35
"D-fuse base, 42mm, gauge ring",PCS,12.32611174,45.2939,10.81,35
"D-fuse base, busbar-mounting (touch protected)",,20.41049031,75.001,17.9,35
"D-fuse base, busbar-mounting- 42mm",,14.76624857,54.2605,12.95,35
"D-fuse base, busbar-mounting- 42mm",,18.18700114,66.8305,15.95,35
"D-fuse base, busbar-mounting- 57mm",,16.43101482,60.3779,14.41,35
"D-fuse base, busbar-mounting, 42mm",,15.57582668,57.2354,13.66,35
"D-fuse base, busbar-mounting, 57mm",,18.71151653,68.7579,16.41,35
"D-fuse base, busbar-mounting, 57mm",,22.87343216,84.0514,20.06,35
"direct rotary handle, graphite grey",ROLL,13.47776511,49.5258,11.82,35
"door coupling rotary drive, graphit-grey blind cover",,42.62257697,156.6222,37.38,35
"door coupling rotary drive, graphit-grey blind cover",,50.62713797,186.036,44.4,35
"door coupling rotary handle, graphite grey, with shaft",,127.9475485,470.1599,112.21,35
"door coupling rotary handle, without shaft",,95.98631699,352.7142,84.18,35
"double adapter, for 2 in-lin NH-fuse switch ",,45.61003421,167.6,40,35
double in-line fuse disconnector 1250 A,,935.9293044,3439.1939,820.81,35
"double-T section busbar 500 mm², length 2.40 m, plain",,214.732041,789.0608,188.32,35
"double-T section busbar 500 mm², length 2.40 m, tinned",,246.0661345,904.202,215.8,35
"double-T section busbar 500 mm², length 3.60 m, plain",,321.8129989,1182.5437,282.23,35
"double-T section busbar 500 mm², length 3.60 m, tinned",,369.3842645,1357.3505,323.95,35
"double-T section busbar 500 mm², length 453 mm, tinned",,57.34321551,210.7151,50.29,35
"double-T section busbar 500 mm², length 650 mm, tinned",,70.37628278,258.6068,61.72,35
"double-T section busbar 720 mm², length 2.40 m, plain",,329.6351197,1211.2871,289.09,35
"double-T section busbar 720 mm², length 2.40 m, tinned",,398.654504,1464.9078,349.62,35
"double-T section busbar 720 mm², length 3.60 m, plain",,494.4583808,1816.9516,433.64,35
"double-T section busbar 720 mm², length 3.60 m, tinned",,597.8335234,2196.817,524.3,35
"double-T section busbar 720 mm², length 453 mm, tinned",,89.62371722,329.334,78.6,35
"double-T section busbar 720 mm², length 653 mm , tinned",,113.386545,416.6536,99.44,35
"earth/neutral busbar 63A, 151 terminal points",,35.26795895,129.5967,30.93,35
"earth/neutral busbar 63A, 30 terminal points 10mm²",PCS,12.85062714,47.2213,11.27,35
"extension set for reversing starters, 40 mm extension",PCS,13.10148233,48.1431,11.49,35
"extension shaft, 250 mm long",,34.50399088,126.7894,30.26,35
"extension shaft, 300 mm long",,29.48688712,108.3534,25.86,35
"extension shaft, 300 mm long",,43.7286203,160.6865,38.35,35
"extension shaft, 336 mm long",,88.11858609,323.8032,77.28,35
"extension shaft, 345 mm long",,47.98175599,176.3152,42.08,35
"extension shaft, 376 mm long",,39.50969213,145.1835,34.65,35
"extension shaft, 387 mm long",,38.88255416,142.879,34.1,35
"extension shaft, 485 mm long",,83.74002281,307.7136,73.44,35
"extension shaft, 490 mm long",,18.33523375,67.3752,16.08,35
"extension shaft, 525 mm long",,76.14595211,279.8082,66.78,35
"extension shaft, 536 mm long",,64.23033067,236.0227,56.33,35
"extension shaft, 550 mm long",,32.04104903,117.739,28.1,35
"extension shaft, 550 mm long",,47.61687571,174.9744,41.76,35
"extension shaft, 635 mm long",,116.3055872,427.38,102,35
"feed-through terminal 250 a, both sides screw M10",PCS,12.70239453,46.6766,11.14,35
"feed-through terminal 250 A, both sides screw M10",,13.80843786,50.7409,12.11,35
"feed-through terminal 630 A, both sides screw M12",,14.24173318,52.3331,12.49,35
"feed-through terminal 630 A, both sides screw M12",,15.5986317,57.3192,13.68,35
"flat terminal, connection of busbar 30 wide with lam",PCS,12.16647662,44.7073,10.67,35
"flat terminal, connection of busbar 35 wide with lam",PCS,13.05587229,47.9755,11.45,35
"flat terminal, connection of busbar 40 wide",,20.49030787,75.2943,17.97,35
"flat terminal, connection of busbar 40 wide with lam",PCS,12.08665906,44.414,10.6,35
"flexible copper busbar, plain, insulated, 10 x 100 x 1",,835.8152794,3071.3119,733.01,35
"flexible copper busbar, plain, insulated, 10 x 15.5 x 0.8",,93.84264538,344.837,82.3,35
"flexible copper busbar, plain, insulated, 10 x 20 x 1",,198.2212087,728.3896,173.84,35
"flexible copper busbar, plain, insulated, 10 x 24 x 1",,201.4937286,740.4149,176.71,35
"flexible copper busbar, plain, insulated, 10 x 32 x 1",,274.6750285,1009.3291,240.89,35
"flexible copper busbar, plain, insulated, 10 x 40 x 1",,316.6704675,1163.6468,277.72,35
"flexible copper busbar, plain, insulated, 10 x 50 x 1",,405.0399088,1488.3718,355.22,35
"flexible copper busbar, plain, insulated, 10 x 63 x 1",,516.4082098,1897.6091,452.89,35
"flexible copper busbar, plain, insulated, 10 x 80 x 1",,625.7012543,2299.2206,548.74,35
"flexible copper busbar, plain, insulated, 3 x 20 x 1",,60.27366021,221.4834,52.86,35
"flexible copper busbar, plain, insulated, 3 x  9 x 0.8",,36.61345496,134.5409,32.11,35
"flexible copper busbar, plain, insulated, 4  x 15.5 x 0.8",,51.98403649,191.0221,45.59,35
"flexible copper busbar, plain, insulated, 4 x 24 x 1",,81.11744584,298.0766,71.14,35
"flexible copper busbar, plain, insulated, 5 x 24 x 1",,99.98859749,367.4211,87.69,35
"flexible copper busbar, plain, insulated, 5 x 32 x 1",,154.1847206,566.5718,135.22,35
"flexible copper busbar, plain, insulated, 5 x 40 x 1",,186.1801596,684.1432,163.28,35
"flexible copper busbar, plain, insulated, 5 x 50 x 1",,236.5222349,869.1317,207.43,35
"flexible copper busbar, plain, insulated, 5 x 63 x 1",,430.9122007,1583.4429,377.91,35
"flexible copper busbar, plain, insulated, 6  x  9 x 0.8",,45.75826682,168.1447,40.13,35
"flexible copper busbar, plain, insulated, 6 x 20 x 1",,99.98859749,367.4211,87.69,35
"flexible copper busbar, plain, insulated, 6 x 24 x 1",,121.5963512,446.8216,106.64,35
"flexible copper busbar, plain, insulated, 6 x 40 x 1",,212.1664766,779.6333,186.07,35
"flexible copper busbar, plain, insulated, 6 x 15.5 x 0.8",,65.5986317,241.0507,57.53,35
"flexible copper busbar, plain, insulated, 8 x 24 x 1",,163.7514253,601.7259,143.61,35
"flexible copper busbar, plain, insulated, 8 x 50 x 1",,335.1311288,1231.4829,293.91,35
"flexible copper busbar, tinned, insulated, 10 x 15.5 x 0.8",,123.6716078,454.4474,108.46,35
"flexible copper busbar, tinned, insulated, 10 x 20 x 1",,237.8791334,874.1178,208.62,35
"flexible copper busbar, tinned, insulated, 10 x 24 x 1",,256.3397948,941.9539,224.81,35
"flexible copper busbar, tinned, insulated, 10 x 32 x 1",,329.5324971,1210.91,289,35
"flexible copper busbar, tinned, insulated, 10 x 40 x 1",,379.8859749,1395.9404,333.16,35
"flexible copper busbar, tinned, insulated, 10 x 50 x 1",,486.0433295,1786.0294,426.26,35
"flexible copper busbar, tinned, insulated, 10 x 63 x 1",,619.4070696,2276.0918,543.22,35
"flexible copper busbar, tinned, insulated, 4 x 15.5 x 0.8",,62.51995439,229.7377,54.83,35
"flexible copper busbar, tinned, insulated, 5 x 24 x 1",,119.8289624,440.3271,105.09,35
"flexible copper busbar, tinned, insulated, 5 x 32 x 1",,184.5496009,678.1515,161.85,35
"flexible copper busbar, tinned, insulated, 5 x 40 x 1",,223.386545,820.8629,195.91,35
"flexible copper busbar, tinned, insulated, 5 x 50 x 1",,283.8540479,1043.0586,248.94,35
"flexible copper busbar, tinned, insulated, 6 x 15.5 x 0.8",,78.6659065,289.0681,68.99,35
"flexible copper busbar, tinned, insulated, 6 x 20 x 1",,119.8289624,440.3271,105.09,35
"flexible copper busbar, tinned, insulated, 6 x 9 x 0.8",,54.91448119,201.7904,48.16,35
"front cover section, for 4-pole systems",,45.02850627,165.4631,39.49,35
fuse 30 A for version 9 A for motors with heavy-duty starting,,20.672748,75.9647,18.13,35
"fuse link 1 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 10 A, fast acting, 600 V AC",,34.32155074,126.119,30.1,35
"fuse link 10 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 100 A, fast acting, 600 V AC",,88.1299886,323.8451,77.29,35
"fuse link 100 A, time delay, 600 V AC, 300 V DC",,95.81527936,352.0857,84.03,35
"fuse link 12 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 125 A, fast acting, 600 V AC",,146.1003421,536.8647,128.13,35
"fuse link 125 A, time delay, 600 V AC, 300 V DC",,191.7787913,704.7161,168.19,35
"fuse link 15 A, fast acting, 600 V AC, 200 V DC",,34.32155074,126.119,30.1,35
"fuse link 15 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 150 A, fast acting, 600 V AC",,146.1003421,536.8647,128.13,35
"fuse link 150 A, time delay, 600 V AC, 300 V DC",,191.7787913,704.7161,168.19,35
"fuse link 175 A, fast acting, 600 V AC",,248.7913341,914.2161,218.19,35
"fuse link 175 A, time delay, 600 V AC, 300 V DC",,191.7787913,704.7161,168.19,35
"fuse link 2 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 20 A, fast acting, 600 V AC, 200 V DC",,34.32155074,126.119,30.1,35
"fuse link 20 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 200 A, fast acting, 600 V AC",,219.1790194,805.4018,192.22,35
"fuse link 200 A, time delay, 600 V AC, 300 V DC",,191.7787913,704.7161,168.19,35
"fuse link 25 A, fast acting, 600 V AC, 200 V DC",,34.32155074,126.119,30.1,35
"fuse link 25 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 250 A, fast acting, 600 V AC",,366.2827822,1345.9537,321.23,35
"fuse link 250 A, time delay, 600 V AC, 300 V DC",,383.4549601,1409.0551,336.29,35
"fuse link 3 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 30 A, fast acting, 600 V AC, 200 V DC",,34.32155074,126.119,30.1,35
"fuse link 30 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 300 A, fast acting, 600 V AC",,556.8187001,2046.1027,488.33,35
"fuse link 300 A, time delay, 600 V AC, 300 V DC",,383.4549601,1409.0551,336.29,35
"fuse link 35 A, fast acting, 600 V AC, 175 V DC",,52.51995439,192.9914,46.06,35
"fuse link 35 A, time delay, 600 V AC, 300 V DC",,57.65108324,211.8464,50.56,35
"fuse link 350 A, fast acting, 600 V AC",,366.2827822,1345.9537,321.23,35
"fuse link 350 A, time delay, 600 V AC, 300 V DC",,383.4549601,1409.0551,336.29,35
"fuse link 4 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 40 A, fast acting, 600 V AC, 175 V DC",,52.51995439,192.9914,46.06,35
"fuse link 40 A, time delay, 600 V AC, 300 V DC",,57.65108324,211.8464,50.56,35
"fuse link 400 A, fast acting, 600 V AC",,556.8187001,2046.1027,488.33,35
"fuse link 400 A, time delay, 600 V AC, 300 V DC",,383.4549601,1409.0551,336.29,35
"fuse link 45 A, time delay, 600 V AC, 300 V DC",,57.65108324,211.8464,50.56,35
"fuse link 50 A, fast acting, 600 V AC, 175 V DC",,52.51995439,192.9914,46.06,35
"fuse link 50 A, time delay, 600 V AC, 300 V DC",,57.65108324,211.8464,50.56,35
"fuse link 6 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 60 A, fast acting, 600 V AC, 175 V DC",,52.51995439,192.9914,46.06,35
"fuse link 60 A, time delay, 600 V AC, 300 V DC",,57.65108324,211.8464,50.56,35
"fuse link 70 A, fast acting, 600 V AC",,88.1299886,323.8451,77.29,35
"fuse link 70 A, time delay, 600 V AC, 300 V DC",,95.81527936,352.0857,84.03,35
"fuse link 8 A, time delay, 600 V AC, 300 V DC",,29.72633979,109.2333,26.07,35
"fuse link 80 A, fast acting, 600 V AC",,88.1299886,323.8451,77.29,35
"fuse link 80 A, time delay, 600 V AC, 300 V DC",,95.81527936,352.0857,84.03,35
"fuse link 90 A, time delay, 600 V AC, 300 V DC",,95.81527936,352.0857,84.03,35
"gauge ring tool, D01 - D03",,15.16533637,55.727,13.3,35
hammer-head screw for TCC-profile,PCS,11.45952109,42.1095,10.05,35
"handle for door coupling drive, yellow-red, ",,127.9475485,470.1599,112.21,35
"holder for cylindrical fuses, 10 x 38 / 1P / LED",PCS,12.04104903,44.2464,10.56,35
"holder for cylindrical fuses, 10 x 38 / 1P + N",PCS,12.37172178,45.4615,10.85,35
"holder for cylindrical fuses, 10 x 38 / 1P/N",PCS,12.37172178,45.4615,10.85,35
"holder for cylindrical fuses, 10 x 38 / 3P/N",,24.23033067,89.0375,21.25,35
"holder for cylindrical fuses, 10 x 85 / 1P",,15.27936146,56.146,13.4,35
"holder for cylindrical fuses, 10x38 / 1P / LED",SETS,11.63055872,42.738,10.2,35
"holder for cylindrical fuses, 10x38 / 2P",PCS,11.84720639,43.5341,10.39,35
"holder for cylindrical fuses, 10x38 / 2P",PCS,13.28392246,48.8135,11.65,35
"holder for cylindrical fuses, 10x38 / 3P",,17.7309008,65.1545,15.55,35
"holder for cylindrical fuses, 10x38 / 3P + N",,24.23033067,89.0375,21.25,35
"holder for cylindrical fuses, 14 x 51 / 1P",,20.95781072,77.0122,18.38,35
"holder for cylindrical fuses, 14x51 / 1P",,19.08779932,70.1406,16.74,35
"holder for cylindrical fuses, 14x51 / 1P + N",,40.87799316,150.2115,35.85,35
"holder for cylindrical fuses, 14x51 / 2P",,38.08437856,139.946,33.4,35
"holder for cylindrical fuses, 14x51 / 3P",,57.17217788,210.0866,50.14,35
"holder for cylindrical fuses, 14x51 / 3P + N",,80.5359179,295.9397,70.63,35
"holder for cylindrical fuses, 22 x 58 / 1P",,26.95553022,99.0516,23.64,35
"holder for cylindrical fuses, 22 x 58 / 1P + N",,57.58266819,211.595,50.5,35
"holder for cylindrical fuses, 22 x 58 / 2P",,53.84264538,197.8518,47.22,35
"holder for cylindrical fuses, 22 x 58 / 3P",,80.7981756,296.9034,70.86,35
"holder for cylindrical fuses, 22 x 58 / 3P + N",,111.3797035,409.2792,97.68,35
"holder for cylindrical fuses, Class CC / 1P",,14.0022805,51.4532,12.28,35
"holder for cylindrical fuses, Class CC / 1P",,15.09692132,55.4756,13.24,35
"holder for cylindrical fuses, Class CC / 2P",,17.79931585,65.4059,15.61,35
"holder for cylindrical fuses, Class CC / 3P",,26.71607754,98.1717,23.43,35
"holder for cylindrical fuses, Class J / 1P, box terminal 50 mm²",,30.54732041,112.2501,26.79,35
"holder for cylindrical fuses, Class J / 1P, box terminal 50 mm²",,35.16533637,129.2196,30.84,35
"holder for cylindrical fuses, Class J / 2P, box terminal 50 mm²",,61.17445838,224.7935,53.65,35
"holder for cylindrical fuses, Class J / 2P, box terminal 50 mm²",,70.46750285,258.942,61.8,35
"holder for cylindrical fuses, Class J / 3P, box terminal",,121.368301,445.9836,106.44,35
"holder for cylindrical fuses, Class J / 3P, box terminal 50 mm²",,91.72177879,337.0436,80.44,35
"holder for cylindrical fuses, Class J / 3P, box terminal 50 mm²",,105.6442417,388.2035,92.65,35
"holder for cylindrical fuses, Class J / 3P, terminal 150 mm²",,309.3158495,1136.6213,271.27,35
"holder for cylindrical fuses, Class J / 3P, terminal 300 mm²",,621.0148233,2281.9997,544.63,35
"holder for cylindrical fuses, for semiconductor fuses",PCS,13.0672748,48.0174,11.46,35
"holder for cylindrical fuses, for semiconductor fuses",,88.90535918,326.6943,77.97,35
"holder for cylindrical fuses, N left mounted, 14 x 51 / 3P + N",,80.5359179,295.9397,70.63,35
"holder for cylindrical fuses, N left mounted, 22 x 58 / 3P + N",,111.3797035,409.2792,97.68,35
"holder for cylindrical fuses, with LED, 10 x 38 / 2P",,21.98403649,80.7832,19.28,35
"holder for cylindrical fuses, with LED, 10 x 38 / 3P",,32.94184721,121.0491,28.89,35
"holder for cylindrical fuses, with LED, 14 x 51 / 1P",,25.9977195,95.532,22.8,35
"holder for cylindrical fuses, with LED, 14 x 51 / 3P",,77.89053592,286.2189,68.31,35
"holder for cylindrical fuses, with LED, 22 x 58 / 1P",,33.81984036,124.2754,29.66,35
"holder for cylindrical fuses, with LED, 22 x 58 / 3P",,101.4823261,372.91,89,35
"holder for cylindrical fuses, with LED, Class CC / 2P",,27.95895097,102.7388,24.52,35
"holder for cylindrical fuses, with LED, Class CC / 3P",,41.96123147,154.192,36.8,35
"holder for cylindrical fuses, Class J / 1P, box terminal 50 mm²",,37.37742303,137.3482,32.78,35
"holder for cylindrical fuses, Class J / 2P, box terminal 50 mm²",,74.81185861,274.9059,65.61,35
"holder for cylindrical fuses, Class J / 3P, box terminal 50 mm²",,112.1892816,412.2541,98.39,35
"holder for cylindrical fuses, with pilot switch, 14 x 51 / 1P",,30.59293044,112.4177,26.83,35
"holder for cylindrical fuses, with pilot switch, 22 x 58 / 1P",,37.55986317,138.0186,32.94,35
"holder for semiconductor cylindrical fuses, 10 x 38 / 3P",,19.62371722,72.1099,17.21,35
"hybrid motor starter, 0.075 - 0.6 A direct",,227.4800456,835.905,199.5,35
"hybrid motor starter, 0.18 - 2.4 A direct ",,227.4800456,835.905,199.5,35
"hybrid motor starter, 1.5 - 9 A direct ",,227.4800456,835.905,199.5,35
"hybrid switch, 3-pole or 1-pole switchable, 25 A (IEC)",,410.4903079,1508.4,360,35
"hybrid switch, 3-pole or 1-pole switchable, 20 A (UL)",,453.2497149,1665.525,397.5,35
"hybrid switch, 3-pole or 1-pole switchable, 25 A (IEC)",,401.368301,1474.88,352,35
"in-line fuse switch-disconnector 160 A, clamp 70 mm²",,124.732041,458.3441,109.39,35
"in-line fuse switch-disconnector 160 A, screw M8",,337.6510832,1240.7428,296.12,35
"in-line fuse switch-disconnector 630 A, screw M12",,399.2474344,1467.0866,350.14,35
"locking cap D02 version &quot;utility&quot, 400 V",,36.86431015,135.4627,32.33,35
"locking cap DIII version &quot;utility&quot, 500 V",,50.95781072,187.2511,44.69,35
"longitudinal busbar connector, 40 mm",,23.69441277,87.0682,20.78,35
"longitudinal busbar connector, 60 mm",,30.7981756,113.1719,27.01,35
"modular energy distribution system 125 A, 3-pole",,74.0022805,271.931,64.9,35
"module PE/N, attachable to busbar adapter to both sides",,19.16761688,70.4339,16.81,35
"neutral busbar 63A, 36 terminal points 10mm²",,15.25655644,56.0622,13.38,35
"neutral conductor 160 A, clamp on both sides",,17.67388826,64.945,15.5,35
"neutral conductor 250 A, screw M8 at both sides",,19.13340935,70.3082,16.78,35
"neutral conductor 400 A, screw M10 at both sides",,51.72177879,190.0584,45.36,35
"neutral conductor 63 A, socket terminal screw-on / snap-on",PCS,12.51995439,46.0062,10.98,35
"neutral conductor 630 A, screw M12 at both sides",,52.90763968,194.416,46.4,35
"NH bus-mounting fuse base 160 A, connection screw M8",,48.85974914,179.5415,42.85,35
"NH bus-mounting fuse base 160 A, terminal 70 mm²",,48.85974914,179.5415,42.85,35
"NH fuse 100 A, 500 V, gG",PC,13.69441277,50.3219,12.01,35
"NH fuse 1000 A, 500 V, gG",,281.4823261,1034.3434,246.86,35
"NH fuse 125 A, 400 V, gG",,20.86659065,76.677,18.3,35
"NH fuse 1250 A, 500 V, gG",,313.2041049,1150.9092,274.68,35
"NH fuse 160 A, 500 V, gG",M,13.69441277,50.3219,12.01,35
"NH fuse 160 A, 690 V",,16.20296465,59.5399,14.21,35
"NH fuse 200 A, 500 V, gG",PCS,12.45153934,45.7548,10.92,35
"NH fuse 200 A, 500 V, gG",PC,13.69441277,50.3219,12.01,35
"NH fuse 200 A, 690 V, gG",,16.96693273,62.3472,14.88,35
"NH fuse 224 A, 500 V, gG",PCS,12.45153934,45.7548,10.92,35
"NH fuse 224 A, 500 V, gG",ROLL,13.69441277,50.3219,12.01,35
"NH fuse 250 A, 500 V, gG",PCS,12.45153934,45.7548,10.92,35
"NH fuse 250 A, 500 V, gG",PC,13.69441277,50.3219,12.01,35
"NH fuse 250 A, 690 V, gG",,22.25769669,81.7888,19.52,35
"NH fuse 300 A, 500 V, gG",,16.96693273,62.3472,14.88,35
"NH fuse 315 A, 500 V, gG",,18.42645382,67.7104,16.16,35
"NH fuse 315 A, 690 V, gG",,23.70581528,87.1101,20.79,35
"NH fuse 355 A, 500 V, gG",,16.96693273,62.3472,14.88,35
"NH fuse 400 A, 500 V, gG",,16.96693273,62.3472,14.88,35
"NH fuse 400 A, 500 V, gG",,18.42645382,67.7104,16.16,35
"NH fuse 400 A, 690 V, gG",,45.96351197,168.8989,40.31,35
"NH fuse 500 A, 500 V, gG",,31.98403649,117.5295,28.05,35
"NH fuse 500 A, 690 V, gG",,59.23603193,217.6705,51.95,35
"NH fuse 630 A, 500 V, gG",,31.98403649,117.5295,28.05,35
"NH fuse 800 A, 500 V, gG",,259.0877993,952.0518,227.22,35
"NH fuse extractor handle, without sleeve",,18.90535918,69.4702,16.58,35
"NH fuse-base 160 A, panel mounting",,14.10490308,51.8303,12.37,35
"NH fuse-base 160 A, both sides screw M8",,35.37058153,129.9738,31.02,35
"NH fuse-base 400 A, both sides screw M10",,56.48802737,207.5726,49.54,35
"NH in-line fuse base 160 A, screw M8, flat version",,117.286203,430.9834,102.86,35
"NH in-line fuse base 630 A, screw M12",,197.8449259,727.0069,173.51,35
NH in-line switch disconnector fuse size 1,,507.4116306,1864.55,445,35
NH in-line switch disconnector fuse size 2,,746.8643101,2744.45,655,35
NH in-line switch disconnector fuse size 3,,820.9806157,3016.8,720,35
"NH.fuse-base 250 A, both sides clamp",,108.1527936,397.4215,94.85,35
"NH.fuse-base 250 A, both sides screw M10",,108.1527936,397.4215,94.85,35
"NH.fuse-base 630 A, both sides screw M12",,224.9828962,826.7289,197.31,35
"PE/N-support, 2-pole, indiv",TONS,12.32611174,45.2939,10.81,35
"pilot switch, 1 n/c + 1 n/o",,15.30216648,56.2298,13.42,35
