p_name,unit,dollar,dirham,euro,type,tradingTypeCode
Supercritical CO2 Extraction Machine forآ Cbd,SETS,355000,1302850,305300,MEDICAL,13
Medicalآ Endotracheal Cannula Tubing Plastic Extrusion,SETS,25000,91750,21500,MEDICAL,13
Dual-Energy X-ray Bone Densitometer Instrument,SETS,60000,220200,51600,MEDICAL,13
Oilless Rotary Screw Type Air Compressor,PCS,30000,110100,25800,MEDICAL,13
LEMO compatible metal Circular Connector,PCS,8.6,31.56,7.4,MEDICAL,13
Medicalآ Grade Disposable Latex Examination Gloves,BOXES,25,91.75,21.5,MEDICAL,13
Portable Ultrasound Scanner in Hospital,PCS,5000,18350,4300,MEDICAL,13
Exercise Bike for Arm Leg Rehabilitation,PCS,2200,8074,1892,MEDICAL,13
Gait Training System for Rehabilitation,PCS,1000,3670,860,MEDICAL,13
Lightweight Sport Wheelchair for Basketball,PCS,411.6,1510.57,353.98,MEDICAL,13
Neonate Baby Care Infant Incubator,PCS,3000,11010,2580,MEDICAL,13
Disposable IV Transfusion Infusion SETS with Luer Lock,PCS,0.1,0.37,0.09,MEDICAL,13
Disposableآ Medical Gauze Swab,BAG,0.8,2.94,0.69,MEDICAL,13
Surgical Power Tools Oscillating Sagittal Saw,PCS,1400,5138,1204,MEDICAL,13
Pets Cremation Incinerator (WFS),SETS,5000,18350,4300,MEDICAL,13
Multi purpose Hospital Surgical Medicalآ Table,PCS,3700,13579,3182,MEDICAL,13
Optical Glass Loupe Dental Binocular Magnifier,PCS,120,440.4,103.2,MEDICAL,13
Medicalآ Rubber Seal Rubber Products,PCS,10,36.7,8.6,MEDICAL,13
Industrial Equipment PSA Oxygen Generator,PCS,50000,183500,43000,MEDICAL,13
Sc Ptca Balloon Dilatation Catheterآ Medicalآ Device,PCS,70,256.9,60.2,MEDICAL,13
Sheet Metal Fabrication Stamping Parts,PCS,300,1101,258,MEDICAL,13
Ice Painfree Permanent Diode Laser Hair RemovalClinicآ Medicalآ Ce TUV,PCS,5000,18350,4300,MEDICAL,13
Double Dome LED Ceiling Light Shadowless (700500 LED),SETS,2700,9909,2322,MEDICAL,13
High Speed Refrigerated Centrifuge 16000rpm,PCS,800,2936,688,MEDICAL,13
Lipo Laser Slimming Machine (TUVmedicalآ CE),PCS,3500,12845,3010,MEDICAL,13
2-Crankآ Medicalآ Manualآ Bedآ with Dining Table (THR-MB220),PCS,228,836.76,196.08,MEDICAL-BED (2),13
a-2005c Hospital Obstetrics Gynecology Equipment Medicalآ Deliveryآ Bed,PCS,800,2936,688,MEDICAL-BED (2),13
ABS Hospitalآ Bedآ with Three Cranks (SLV-B4030),PCS,400,1468,344,MEDICAL-BED (2),13
ABS Reverse ICU Electric Hospital Careآ Bedآ Medicalآ Bed(SLV-B4131),PCS,556,2040.52,478.16,MEDICAL-BED (2),13
Adjustableآ Bed/Reclinerآ Bed,PCS,300,1101,258,MEDICAL-BED (2),13
Aluminium Patient Handling,PCS,1038,3809.46,892.68,MEDICAL-BED (2),13
Automatic Loading Hospitalآ Medicalآ First-Aid Surgical Patient Deliveryآ Bed,PCS,800,2936,688,MEDICAL-BED (2),13
Bae502 Factory Direct Hospital Furniture Electricآ Medical Equipmentآ Bed,PCS,1500,5505,1290,MEDICAL-BED (2),13
Bae517ecآ Medicalآ Hospital Equipment Five Function Adjustable Electricآ Bed,PCS,2300,8441,1978,MEDICAL-BED (2),13
C Arm Compatibleآ Medicalآ Operatingآ Bedآ (HFEOT99),PCS,3200,11744,2752,MEDICAL-BED (2),13
Ce ISOآ Medicalآ 3-Function Electric Hospital Nursing CareBed,PCS,595,2183.65,511.7,MEDICAL-BED (2),13
Ce  FDA  ISO Approvalآ Medicalآ Four Crank Hospital Manualآ Bed,PCS,460,1688.2,395.6,MEDICAL-BED (2),13
Cheap Adjustableآ Medicalآ Manualآ Bed,PCS,638,2341.46,548.68,MEDICAL-BED (2),13
China Supplier Hospital Furniture Electric Multi-Function Medicalآ Bedآ /Hospital/Nursingآ Bed,PCS,2450,8991.5,2107,MEDICAL-BED (2),13
Electricآ Medicalآ Bed,PCS,360,1321.2,309.6,MEDICAL-BED (2),13
Electricآ Medicalآ Physiotherapy Massageآ Bed,PCS,800,2936,688,MEDICAL-BED (2),13
Five Functions Electricآ Medicalآ Bed,PCS,3000,11010,2580,MEDICAL-BED (2),13
FM-03bآ Medicalآ Function Tractionآ Bedآ Net Frame,PCS,1800,6606,1548,MEDICAL-BED (2),13
Ha-6 ABS Manualآ Medicalآ Bed  Hospitalآ Bed,PCS,480,1761.6,412.8,MEDICAL-BED (2),13
Hospital Equipment Manualآ Medicalآ Beds,PCS,300,1101,258,MEDICAL-BED (2),13
Hospital Furniture Five-Function Electricآ Medicalآ CareBedآ Slv-B4151,PCS,708,2598.36,608.88,MEDICAL-BED (2),13
Hospital Furniture ICUآ Bedآ Medicalآ Nursing Manual Hospitalآ Bedآ with Examintation Lamp,PCS,300,1101,258,MEDICAL-BED (2),13
Hospital Gynecological Examining Tableآ Medical Production Surgeryآ Bed,PCS,1260,4624.2,1083.6,MEDICAL-BED (2),13
Hospital Patient Furniture Electric/Manual Multi-FunctionMedicalآ Bedآ /Hospital/Nursing/ICUآ Bed,SETS,1000,3670,860,MEDICAL-BED (2),13
Manual Hospital Careآ Bedآ Adjustableآ Medicalآ Bed,PCS,288,1056.96,247.68,MEDICAL-BED (2),13
Medicalآ Dentalآ Bedآ with LED X-ray Viewer,PCS,1800,6606,1548,MEDICAL-BED (2),13
Medicalآ Electric Beauty Jade Massageآ Bed,PCS,700,2569,602,MEDICAL-BED (2),13
Medicalآ Examinationآ Bed,PCS,2000,7340,1720,MEDICAL-BED (2),13
Medicalآ Furniture and Equipmentآ Medicalآ Metal 5 Function Electric Hospitalآ Bed,PCS,1300,4771,1118,MEDICAL-BED (2),13
Medicalآ Furniture Equipmentآ Medicalآ Metal 5 Function Electric Hospitalآ Bed,PCS,2000,7340,1720,MEDICAL-BED (2),13
Medicalآ Hospital Equipment Electric Massageآ Bed,PCS,10800,39636,9288,MEDICAL-BED (2),13
Medicalآ Nuga Massageآ Bed,PCS,550,2018.5,473,MEDICAL-BED (2),13
Medicalآ Nursing Equipment Manual Double Function Adjustable Hospitalآ Beds,PCS,380,1394.6,326.8,MEDICAL-BED (2),13
Medicalآ Supply Adjustable Treatmentآ Bed,PCS,4500,16515,3870,MEDICAL-BED (2),13
Medicalآ Supply Cervical and Lumbar Tractionآ Bed,PCS,1950,7156.5,1677,MEDICAL-BED (2),13
Medicalآ Treatmentآ Bed,PCS,2000,7340,1720,MEDICAL-BED (2),13
Medicalآ X-Raying Available Integrative Obstetricآ Bed(HFEOT2000),PCS,4250,15597.5,3655,MEDICAL-BED (2),13
Multi-Functionalآ Medicalآ Equipment Hospitalآ Bed,PCS,2000,7340,1720,MEDICAL-BED (2),13
National Science and Technology Support Program Medicalآ Device Hydraulic Hospitalآ Bed,PCS,15000,55050,12900,MEDICAL-BED (2),13
NFC026آ Medicalآ ABS Triple-Functionآ Bed,PCS,367,1346.89,315.62,MEDICAL-BED (2),13
Obstetrics & Gynecology Equipments Hospitalآ Medical Adjustable Deliveryآ Beds,SETS,5500,20185,4730,MEDICAL-BED (2),13
Patent Productآ Medicalآ Laminar Air Flow Hoodآ Bed\,PCS,1450,5321.5,1247,MEDICAL-BED (2),13
Professionalآ Medicalآ Electricآ Bedآ with Three Functions,PCS,720,2642.4,619.2,MEDICAL-BED (2),13
Rehabilitation Center Full Tilt Electricآ Bed,PCS,700,2569,602,MEDICAL-BED (2),13
Super Low Hospital Electricآ Medicalآ Supplyآ Bed,PCS,550,2018.5,473,MEDICAL-BED (2),13
Three Crankآ Medicalآ Equipment Manual Hospitalآ Bed,PCS,2000,7340,1720,MEDICAL-BED (2),13
Three Function Electric Hospitalآ Bed,PCS,350,1284.5,301,MEDICAL-BED (2),13
Three Function Hospital Electricآ Bed/Medicalآ Equipment,PCS,600,2202,516,MEDICAL-BED (2),13
X-ray Electric Five Functionآ Medicalآ Bed,PCS,1800,6606,1548,MEDICAL-BED (2),13
CE Approvedآ Medicalآ Field Composite Equipments,SETS,60000,220200,51600,MEDICAL-EQUIPMENT,13
Color Magnification Binocular Loupes of Dental Hospital,PCS,35,128.45,30.1,MEDICAL-EQUIPMENT,13
Medicalآ Bed Hospitalآ Equipment,PCS,15000,55050,12900,MEDICAL-EQUIPMENT,13
Medicalآ Hf Mobile X-ray Machine Equipment,PCS,10000,36700,8600,MEDICAL-EQUIPMENT,13
Laser Diode Hair Removal Laserآ Medicalآ Aesthetic,PCS,5500,20185,4730,MEDICAL-EQUIPMENT,13
B Model Ultrasound Scanner,SETS,2000,7340,1720,MEDICAL-EQUIPMENT,13
Instruments Anesthesia Equipmentآ (JINLING-850),UNITS,5400,19818,4644,MEDICAL-EQUIPMENT,13
High Grade Infant Incubator (H-2000),PCS,1500,5505,1290,MEDICAL-EQUIPMENT,13
Dental Chair PU Colors for Dental Hospitalآ Medicalآ Lab,PCS,980,3596.6,842.8,MEDICAL-EQUIPMENT,13
Dental Handpiece of Low Speed Handpiece Kit,PCS,47,172.49,40.42,MEDICAL-EQUIPMENT,13
Dental Teeth Whitening Machine,PCS,40,146.8,34.4,MEDICAL-EQUIPMENT,13
Eswt-PRO Extracorporal Shock Wave Therapy,PCS,1990,7303.3,1711.4,MEDICAL-EQUIPMENT,13
FC-P1 Ce Approved Foldable Electric Wheelchair,PCS,4000,14680,3440,MEDICAL-EQUIPMENT,13
Green Tech Ampoule Melting Sealingآ Medicalآ Laboratory,PCS,3500,12845,3010,MEDICAL-EQUIPMENT,13
Fiber Laser Engraving Markingآ Equipment,PCS,4000,14680,3440,MEDICAL-EQUIPMENT,13
Hospital Digital X Ray Unit andآ Medicalآ ,SETS,1370,5027.9,1178.2,MEDICAL-EQUIPMENT,13
ICU Ventilation Environment System PA-700b II,PCS,3000,11010,2580,MEDICAL-EQUIPMENT,13
IPL Shr Opt Laser Permanent Hair Removal Machine,PCS,2900,10643,2494,MEDICAL-EQUIPMENT,13
ISO Electric Wheelchair Type (ME192),PCS,800,2936,688,MEDICAL-EQUIPMENT,13
Luxurious Type Imported Upholstery Floor-Fixed,PCS,6000,22020,5160,MEDICAL-EQUIPMENT,13
Medicalآ Device Surgery Ultrasound Clinic,PCS,7000,25690,6020,MEDICAL-EQUIPMENT,13
Medicalآ Equipmentآ Knee Cpm,PCS,980,3596.6,842.8,MEDICAL-EQUIPMENT,13
4D Color Doppler Ultrasound Scanner System,PCS,25000,91750,21500,MEDICAL-EQUIPMENT,13
Electric with Guardrail Transport Stretcher,PCS,1500,5505,1290,MEDICAL-EQUIPMENT,13
Medicalآ Equipmentآ Gait Training System,PCS,1000,3670,860,MEDICAL-EQUIPMENT,13
Plx101 High Frequency Mobile X-ray,PCS,6099,22383.33,5245.14,MEDICAL-EQUIPMENT,13
Medicalآ Glass Professional X-rayآ Equipmentآ Protection,PCS,460,1688.2,395.6,MEDICAL-EQUIPMENT,13
Medicalآ IPL Shr Elight Laser Hair Removal,PCS,3000,11010,2580,MEDICAL-EQUIPMENT,13
Laser RF Fractional CO2 ,PCS,10000,36700,8600,MEDICAL-EQUIPMENT,13
Medicalآ LCD Display Class B 23L Dental Sterilizer Autoclave ,PCS,1521,5582.07,1308.06,MEDICAL-EQUIPMENT,13
Mic-Heat Adsorption Desiccant Dryer,PCS,1041,3820.47,895.26,MEDICAL-EQUIPMENT,13
My-A031 Full Digital Color Doppler 4D Ultrasound Scanner,PCS,680,2495.6,584.8,MEDICAL-EQUIPMENT,13
Portable Etco2 Real-Time Capnograph,PCS,1500,5505,1290,MEDICAL-EQUIPMENT,13
Portable IPL Laser Shr Elightآ Medicalآ Beauty Hair Removalآ Equipment,PCS,2000,7340,1720,MEDICAL-EQUIPMENT,13
Portableآ Medicalآ Laser Fractional CO2 Laser Beauty Equipmentآ (FG 900-B),PCS,10000,36700,8600,MEDICAL-EQUIPMENT,13
Ozone Generatorآ Equipmentآ Zamt-80 for Ri,PCS,2800,10276,2408,MEDICAL-EQUIPMENT,13
6 Multi-Parameters Patient Monitor for Hospital-Mslmp18,PCS,7000,25690,6020,MEDICAL-EQUIPMENT,13
Professional Anti-Aging Beautyآ Equipment,SETS,3900,14313,3354,MEDICAL-EQUIPMENT,13
Laser Depilation Wavelength Laser Hair Removal Salon,PCS,9000,33030,7740,MEDICAL-EQUIPMENT,13
Permanent Diode Laser Hair Removal 808nm 2000W Laser,PCS,5000,18350,4300,MEDICAL-EQUIPMENT,13
Wh Design LED Handpiece with E-Generator,PCS,48,176.16,41.28,MEDICAL-EQUIPMENT,13
Free Apron X Ray Lead Radiation-Proof Clothes,PCS,800,2936,688,MEDICAL-GARMENT,13
Dental X-ray Protective Gown Clothes for Children,PCS,120,440.4,103.2,MEDICAL-GARMENT,13
Custom Men Cottons Drill High Visibility,PCS,20,73.4,17.2,MEDICAL-GARMENT,13
Customization Reusable Polyester Cleanroom ESDآ Garment,PCS,4.8,17.62,4.13,MEDICAL-GARMENT,13
High Collar Waistcoat Protection Clothing,PCS,43,157.81,36.98,MEDICAL-GARMENT,13
Lead Rubber Clothing Protective Clothing,PCS,47,172.49,40.42,MEDICAL-GARMENT,13
Durable Cleanroom ESD Coverall,PCS,4.5,16.52,3.87,MEDICAL-GARMENT,13
Nursing Navy Blue Scrubs Medicalآ Clothing,SETS,8.9,32.66,7.65,MEDICAL-GARMENT,13
Thermal Safety Reflective Working Clothes,PCS,20,73.4,17.2,MEDICAL-GARMENT,13
Medical Garmentsآ Clothes Supplier (H25),PCS,8.5,31.2,7.31,MEDICAL-GARMENT,13
Hospital Clothes for Nurse Working Clothes,PCS,10,36.7,8.6,MEDICAL-GARMENT,13
Surgery Hand Washing Clothes,PCS,50,183.5,43,MEDICAL-GARMENT,13
Medicalآ Wear Clothing (H18),PCS,8.5,31.2,7.31,MEDICAL-GARMENT,13
Patientآ Medicalآ Clothes for Hospital,PCS,8.58,31.49,7.38,MEDICAL-GARMENT,13
Medicalآ Radiation-Proof Clothes 0.50mmpb,PCS,40,146.8,34.4,MEDICAL-GARMENT,13
Medicalآ Lead Rubber Clothing Protective Clothing,PCS,47,172.49,40.42,MEDICAL-GARMENT,13
Disposable Patient Clothing,PCS,4.8,17.62,4.13,MEDICAL-GARMENT,13
Intergrated Surgical Clothes with Mask,PCS,20,73.4,17.2,MEDICAL-GARMENT,13
Disposable Nonwoven Surgical Operating Room Clothing,PCS,8.5,31.2,7.31,MEDICAL-GARMENT,13
Medicalآ Pasg Pneumatic Anti-Shockآ Garment,PCS,600,2202,516,MEDICAL-GARMENT,13
Medicalآ Uniforms Nurse Scrub Clothes,SETS,12.1,44.41,10.41,MEDICAL-GARMENT,13
Hospital Medical Uniforms,PCS,16.39,60.15,14.1,MEDICAL-GARMENT,13
Medical/Hospital Clothes (HS-N001),PCS,4.7,17.25,4.04,MEDICAL-GARMENT,13
OEM Antistatic Textile Cleanآ Garment,PCS,6.7,24.59,5.76,MEDICAL-GARMENT,13
Spunbonded Nonwoven Disposableآ Medicalآ Surgical Gown,PCS,1.5,5.51,1.29,MEDICAL-GARMENT,13
Dust Preventionآ Garmentsآ for Production Line,SETS,7.8,28.63,6.71,MEDICAL-GARMENT,13
X Ray Lead Radiation-Proof Clothes,SETS,550,2018.5,473,MEDICAL-GARMENT,13
X Ray Protective Clothing,PCS,120,440.4,103.2,MEDICAL-GARMENT,13
X Ray Protective Clothing Protective Clothing,PCS,47,172.49,40.42,MEDICAL-GARMENT,13
X Ray Radiation Protective Clothes,SETS,550,2018.5,473,MEDICAL-GARMENT,13
X ray Apparel from X ray/Gamma Ray (0.5mmpb),PCS,130,477.1,111.8,MEDICAL-GARMENT,13
Yuhongآ Medicalآ X-ray Protective Clothing,PCS,130,477.1,111.8,MEDICAL-GARMENT,13
3 Axis/4 Axis/5 Axis Autoآ Spareآ Parts,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
Carbon Fiber Moldedآ Medicalآ Treatmentآ Spareآ Parts,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
CNC Milling Machiningآ Parts,PCS,30,110.1,25.8,MEDICAL-SPARE PARTS (2),13
CNC Precision Machine Car Parts,PCS,40,146.8,34.4,MEDICAL-SPARE PARTS (2),13
CNCآ Partآ for Auto/Medical,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
Custom High Precision CNC Machiningآ Part,PCS,24,88.08,20.64,MEDICAL-SPARE PARTS (2),13
Experienced Customizedآ Medicalآ Equipmentآ Spareآ Parts,PCS,20,73.4,17.2,MEDICAL-SPARE PARTS (2),13
Hardwareآ Spareآ CNC Machining Aluminumآ Parts,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
High Precision CNC Machiningآ Partsآ Autoآ Spareآ Parts,PCS,30,110.1,25.8,MEDICAL-SPARE PARTS (2),13
High Precision Milling CNCآ Spareآ Metal Autoآ Parts,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
High Precision Stainless Steel CNC Machine Spareآ Parts,PCS,29,106.43,24.94,MEDICAL-SPARE PARTS (2),13
IPL Shr Elight Machine Handpiece IPL Piezas De Repuesto Huameiآ Spareآ Parts,PCS,1000,3670,860,MEDICAL-SPARE PARTS (2),13
Medicalآ CNC Precision Metal Metallic Processing Machinery Spareآ Parts,PCS,25,91.75,21.5,MEDICAL-SPARE PARTS (2),13
Medicalآ Opthalmic Intrustment Auto Chart Projector Eye Partsآ Checking; ACP-1000,PCS,10000,36700,8600,MEDICAL-SPARE PARTS (2),13
Medicalآ Spareآ Precision Metallic Processing Machinery Machiningآ Part,PCS,25,91.75,21.5,MEDICAL-SPARE PARTS (2),13
Metal Hardwareآ Spareآ CNC Machining Aluminumآ Parts,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
OEM CNC Machining Service Aluminum,PCS,32,117.44,27.52,MEDICAL-SPARE PARTS (2),13
OEM CNC Turningآ Partآ Availableآ (LW-02528),PCS,100,367,86,MEDICAL-SPARE PARTS (2),13
Passenger Lift Car Shoes Elevatorآ Spareآ Partsآ (SN-RGS-H22),PCS,110,403.7,94.6,MEDICAL-SPARE PARTS (2),13
Plastic CNC Rapid Prototype,PCS,30,110.1,25.8,MEDICAL-SPARE PARTS (2),13
Plastic Injection Mould  Moldind  Tooling andآ Parts,SETS,4000,14680,3440,MEDICAL-SPARE PARTS (2),13
Plastic Moulded Bicycleآ Spareآ Parts,SETS,2000,7340,1720,MEDICAL-SPARE PARTS (2),13
Precision Central Machinery Metal CNC,PCS,35,128.45,30.1,MEDICAL-SPARE PARTS (2),13
Precision CNC Machining,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
Precision CNC Milling Machining Metalآ Part,PCS,100,367,86,MEDICAL-SPARE PARTS (2),13
Precision CNC Millingآ Part,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
Precision Machining Milling Hardware Processing Steel Copper Bicycleآ Parts,PCS,36,132.12,30.96,MEDICAL-SPARE PARTS (2),13
Precisionآ Medicalآ Equipmentsآ Spareآ CNC Machiningآ Parts,PCS,10,36.7,8.6,MEDICAL-SPARE PARTS (2),13
Prototypeآ Medicalآ Equipment,PCS,16,58.72,13.76,MEDICAL-SPARE PARTS (2),13
Spareآ Metal Aluminum CNC Machining Part,PCS,100,367,86,MEDICAL-SPARE PARTS (2),13
Spareآ Partsآ of Hospital Bedآ Medical Side Rails,PCS,180,660.6,154.8,MEDICAL-SPARE PARTS (2),13
ABS Mold Rapid Prototyping Services,PCS,25,91.75,21.1,METALIC MACHINERY,27
Flexible Strip Wound Hose,PCS,10000,91.75,21.1,METALIC MACHINERY,27
Tungsten Carbide Steel Parts,PCS,199,36700,8441,METALIC MACHINERY,27
CNC Hydraulic Steel Bending Machine,SETS,5500,730.33,167.98,METALIC MACHINERY,27
OEM Stainless Steel CNC Machining Part,KGS,8,20185,4642.55,METALIC MACHINERY,27
CNC Machining Parts,PCS,4,29.36,6.75,METALIC MACHINERY,27
Automatic Two RAM Baler for Plastic (APB-250T),PCS,16200,14.68,3.38,METALIC MACHINERY,27
Aluminium Copper Slitting Machine,SETS,400000,59454,13674.42,METALIC MACHINERY,27
Mc-425CNC Fully Automatic Pipe Cutting Machine,PCS,7500,1468000,337640,METALIC MACHINERY,27
Steel Wire Rope Hydraulic Swager 6-34mm Rope,PCS,40000,27525,6330.75,METALIC MACHINERY,27
Stationary High Speed Pipe End Beveling Machine,PCS,100000,146800,33764,METALIC MACHINERY,27
Thread Rolling Twisting Machine,SETS,5000,367000,84410,METALIC MACHINERY,27
Fixed Platen for Die Casting and Injection Molding Machines,PCS,12000,18350,4220.5,METALIC MACHINERY,27
"Dingchen High Quality Pulp Bleacher in Paper Making Industry
",PCS,5000,18350,4300,PAPER,56
60X60cm Qualitative Filter Paper for Industry with Low Prices,PCS,180,660.6,154.8,PAPER,56
CT High Temperature Petrochemical Fiber Industry Paper Fabric,ROLLS,85,311.95,73.1,PAPER,56
High Zirconia Refractory Ceramic Fiber Paper for Industry Heat Insulation,ROLLS,30,110.1,25.8,PAPER,56
Dewatering Elements in Paper Industry,PCS,500,1835,430,PAPER,56
Paper Making Industry,SETS,300000,1101000,258000,PAPER,56
Industry Use Creped Paper Rubber Adhesive Tape Masking Tape,PCS,360,1321.2,309.6,PAPER,56
60X60cm Filter Paper for Industry and Laboratory with Low Price,CARTONS,180,660.6,154.8,PAPER,56
Suction Box in Paper Making Industry,PCS,500,1835,430,PAPER,56
Ceramic Sucton Box in Paper Industry,SQUARE METERS,500,1835,430,PAPER,56
CT High Temperature Petrochemical Fiber Industry Paper,ROLLS,50,183.5,43,PAPER,56
Kraft Paper & White/Brown Kraft Paper& Wrapping Paper,TONS,950,3486.5,817,PAPER,56
PE Coated Paper & Kraft Paper with PE Coated,TONS,1000,3670,860,PAPER,56
Corrugated Paper/Testliner Paper/Kraftliner Paper for Carton,TONS,650,2385.5,559,PAPER,56
Good Quality Recycled Core Board Paper for Manufacturing,TONS,800,2936,688,PAPER,56
China Manufacturer Cheap Kraft Paper for Wholesale,TONS,498,1827.66,428.28,PAPER,56
High Quality White or Brown Kraft Release Paper for Packaging,TONS,1200,4404,1032,PAPER,56
Aluminium Foil Paper (for Adhesive Tape),TONS,1000,3670,860,PAPER,56
Craft Paper Bubble Mailer,PCS,10000,36700,8600,PAPER,56
One Side PE Coated Kraft Paper,TONS,1500,5505,1290,PAPER,56
Best Quality Different Size Core Paper for Paper Tube Production,TONS,800,2936,688,PAPER,56
Brown or Gray Craft Core Paper for Fiber Tubes,TONS,800,2936,688,PAPER,56
Brown Kraft Paper Liner Jumbo Roll Manufacturer,TONS,1900,6973,1634,PAPER,56
Uncoated High Stiffness Core Board Paper Without Stripes,TONS,800,2936,688,PAPER,56
Wood Pulp Kraft Paper,ROLLS,600,2202,516,PAPER,56
Top Quality Brown Core Board Paper in Rolls,TONS,800,2936,688,PAPER,56
Wholesale Grade a/AA/AAA Kraft Core Board Paper for Paper Tube,TONS,800,2936,688,PAPER,56
Roll Size Core Board Paper for Paper Tube Production,TONS,800,2936,688,PAPER,56
Kraft Paper  Packing Paper,TONS,1580,5798.6,1358.8,PAPER,56
Corrugated Kraft Paper with Cheaper Price,TONS,750,2752.5,645,PAPER,56
High Quality Bobbin Fibre Paper for Tube with Cheap Price,TONS,800,2936,688,PAPER,56
Bobbin Fibre Paper for Paper Core Making,TONS,800,2936,688,PAPER,56
230-500GSM Cop Tube Paper with Low Price,TONS,800,2936,688,PAPER,56
Various Sizes Coreboard Paper for Paper Tube Manufacturing,TONS,800,2936,688,PAPER,56
Brown Core Board Paper in Large Size Roll,TONS,750,2752.5,645,PAPER,56
250GSM Matte Tube Paper in Reel Size,TONS,700,2569,602,PAPER,56
Various Color Core Paperboard Tubes Paper ,TONS,800,2936,688,PAPER,56
Bobbin Fibre Paper for Paper Core Making,TONS,767,2814.89,659.62,PAPER,56
Corrugated Medium Paper in Sheet,TONS,650,2385.5,559,PAPER,56
Spool Paper Used for Paper Tube Production,TONS,800,2936,688,PAPER,56
Brown Roll Size Tube Paper for Sale,TONS,800,2936,688,PAPER,56
Recycled Pulp 70-200GSM Corrugated Paper Made for Carton for Wholesale,TONS,650,2385.5,559,PAPER,56
High Quality Core Board Paper in Roll Made for Tube,TONS,800,2936,688,PAPER,56
Thermal Heat Insulation Material Basalt Rock Wool Roll for Pipe Thermal Insulation,TONS,535,1963.45,460.1,PAPER,56
Temper H14 Mill Finished with Paper Between Each Sheet,TONS,2200,8074,1892,PAPER,56
Plexiglass Sheet Double Kraft Paper Packing,TONS,2560,9395.2,2201.6,PAPER,56
Brown Ribbed Kraft Paper in Sheets,TONS,1100,4037,946,PAPER,56
High Quality Foil Faced Kraft Paper in Sheet,TONS,1100,4037,946,PAPER,56
Chemical-Mechanical Pulp Corrugated Medium Paper for Sale,TONS,650,2385.5,559,PAPER,56
Recycle Paper Machine  Tissue Paper Machinery for Tissue Roll (2400mm),SETS,150000,550500,129000,PAPER,56
Facial Tissue Paper Machine Manufature Line,PCS,80000,293600,68800,PAPER,56
"High Speed Automatic Toilet Tissue Paper Machine
",PCS,350000,1284500,301000,PAPER,56
Biodegradable Automatic Paper Drinking Straws Making Machine,SETS,250000,917500,215000,PAPER,56
High Speed Automatic Paper Cup Making Machine,SETS,18000,66060,15480,PAPER,56
Environmental Policy Auto Paper Straw Making Machine,SETS,30000,110100,25800,PAPER,56
Ultrasonic Medium Speed Paper Cup Forming Machine,SETS,13000,47710,11180,PAPER,56
Rtfq-1300d Slip Type Foil Kraft Paper Slitting Rewinding Machine,SETS,29000,106430,24940,PAPER,56
Jumbo Paper Roll Slitting Machine (ZTM-A),SETS,25000,91750,21500,PAPER,56
Multi-Cutters Paper Straw Making Machine,PCS,20000,73400,17200,PAPER,56
Heavy Duty Paper Cutting Machine H720RS with Air Table and Side Table,PCS,3000,11010,2580,PAPER,56
Full Automatic Folding Color Printing Napkin Tissue Paper Making Machine,SETS,10000,36700,8600,PAPER,56
High Configuration/ New/ Textile Paper Cone Making Machine,SETS,63000,231210,54180,PAPER,56
Hydraulic Paper Cutting Machine (SQZ-115CTN KD),SETS,23000,84410,19780,PAPER,56
High Speed Multi Cutters Paper Drinking Straw Making Machine,PCS,5000,18350,4300,PAPER,56
Middle Speed Paper Cup Making Machine,SETS,10000,36700,8600,PAPER,56
Self Adhesive Paper Sticker Slitter High Speed Slitting Machine,SETS,16000,58720,13760,PAPER,56
Plastic Paper Automatic High Speed Slitting Machine,PCS,48000,176160,41280,PAPER,56
Automatic Color Printing Serviette Napkin Tissue Paper Folding Making Machine,SETS,8000,29360,6880,PAPER,56
Roll Foam Tape  Paper Label  Film Automatic Slitting Rewinding Machine,SETS,18000,66060,15480,PAPER,56
Computerized Double Hydraulic Paper Cutting Machine (SQZK115D15),SETS,24000,88080,20640,PAPER,56
High Speed and Intelligent Paper Cup Machine (DEBAO-118S),SETS,65000,238550,55900,PAPER,56
Paper Cup Machine  Price of Paper Cup Forming Machine,SETS,36000,132120,30960,PAPER,56
Professional Manufacturer Paper Cutter (WD-490H) Hydraulic Paper Cutting Machine,PCS,3500,12845,3010,PAPER,56
New Debut High Speed Paper Cup Machine 110-130PCS/Min,SETS,35000,128450,30100,PAPER,56
Supplying Digital Automatic Color Printing Serviette Napkin Tissue Paper Folding Making Machine,PCS,13000,47710,11180,PAPER,56
Ml400y Automatic Hydraulic Paper Plate Making Machine,SETS,7000,25690,6020,PAPER,56
1092 Type Full Automatic Small Toilet Tissue Paper Roll Rewinder Making Machine,SETS,11000,40370,9460,PAPER,56
Full-Automatic Facial Tissue Paper Making Machine,SETS,10000,36700,8600,PAPER,56
